0	Issue key	Component/s	Component/s	Component/s	Component/s
0	HDFS-810	namenode			
0	HDFS-110				
0	HDFS-1563	namenode			
0	HDFS-1306				
0	HDFS-1405	datanode			
0	HDFS-1162	namenode			
0	HDFS-1171	contrib/raid			
0	HDFS-1453	contrib/raid			
0	HDFS-1415				
1	HDFS-98				
0	HDFS-1237	hdfs-client			
0	HDFS-31	tools			
0	HDFS-1351	namenode			
0	HDFS-86				
0	HDFS-513	namenode			
0	HDFS-320				
0	HDFS-1229	hdfs-client			
0	HDFS-81				
0	HDFS-1239	hdfs-client			
0	HDFS-18				
0	HDFS-1236	hdfs-client			
0	HDFS-1233	hdfs-client			
0	HDFS-1180	build			
0	HDFS-1008	security			
0	HDFS-1098	documentation			
0	HDFS-168				
0	HDFS-848				
0	HDFS-109				
0	HDFS-683	tools			
0	HDFS-628	datanode			
0	HDFS-100				
0	HDFS-33				
1	HDFS-262				
0	HDFS-643				
0	HDFS-407				
0	HDFS-541				
0	HDFS-507	build			
0	HDFS-505	build	test		
1	HDFS-486				
1	HDFS-485	datanode			
0	HDFS-393				
0	HDFS-14030	hdfs			
0	HDFS-13568				
0	HDFS-13562				
0	HDFS-13552				
0	HDFS-13569				
0	HDFS-13561				
0	HDFS-13555				
0	HDFS-13288	namenode			
0	HDFS-13206				
0	HDFS-6859	security			
0	HDFS-13034	hdfs			
0	HDFS-12604	hdfs			
0	HDFS-3638				
0	HDFS-12649	namenode			
0	HDFS-5834				
0	HDFS-5718				
0	HDFS-12401	HDFS-7240			
0	HDFS-12041	hdfs			
0	HDFS-11059	webhdfs			
0	HDFS-10608				
0	HDFS-8609	namenode			
0	HDFS-291				
0	HDFS-11228	fs			
0	HDFS-4613	documentation			
0	HDFS-10378	namenode			
0	HDFS-9028				
0	HDFS-10466	hdfs			
0	HDFS-4869				
0	HDFS-3435				
0	HDFS-5551	datanode	namenode		
0	HDFS-4387	libhdfs			
0	HDFS-4202	federation	scripts		
1	HDFS-10305	namenode			
1	HDFS-10252	datanode	namenode		
0	HDFS-9309				
0	HDFS-9573				
0	HDFS-3316	build			
0	HDFS-1494	build			
0	HDFS-8840				
0	HDFS-9551	datanode			
0	HDFS-3356	namenode			
1	HDFS-9272	hdfs-client			
0	HDFS-6540				
0	HDFS-8906	datanode	namenode		
1	HDFS-190				
0	HDFS-9344	namenode			
1	HDFS-9212	webhdfs			
1	HDFS-2243	datanode			
